inventory_size
5
6
7
7
7
7
7
7
8
9
9
9
9
9
10
10
10
10
11
12
12
13
14
14
14
14
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
16
16
16
