inventory_size
5
5
6
7
8
9
10
10
11
12
13
13
14
14
14
14
14
15
15
16
17
18
19
19
19
19
19
20
20
20
20
21
22
22
22
22
22
22
22
22
22
22
22
22
23
23
24
24
24
24
