inventory_size
5
5
6
7
8
9
10
11
12
12
13
14
14
14
15
16
17
18
19
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
21
