inventory_size
5
6
7
8
8
8
9
9
10
11
12
13
14
15
16
16
16
17
17
18
19
20
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
22
22
22
22
22
22
22
22
22
