inventory_size
5
6
7
8
9
10
10
11
12
13
14
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
16
16
16
17
17
17
18
19
19
19
19
19
19
20
20
20
20
20
20
21
22
