id,trial,inventory,first,second,success,results,t
3,34,27,27,514,1,-1,0
3,35,27,478,478,1,-1,0
3,36,27,9,27,1,-1,0
3,37,27,8,27,1,-1,0
3,38,28,2,5,1,[7],0
3,39,30,6,7,1,"[25, 20]",0
3,40,32,31,35,1,"[184, 286]",0
3,41,33,2,578,1,[579],0
3,42,34,579,579,1,[247],0
3,43,35,1,247,1,[107],0
3,44,36,3,247,1,[162],0
3,45,38,107,162,1,"[532, 21]",0
3,46,38,1,21,1,-1,0
3,47,38,162,162,1,-1,0
3,48,38,3,162,1,-1,0
3,49,38,3,21,1,-1,0
4,0,5,3,3,1,[6],0
4,1,6,2,6,1,[26],0
4,2,7,1,26,1,[35],0
4,3,8,26,26,1,[246],0
4,4,9,246,246,1,[71],0
4,5,10,26,35,1,[54],0
4,6,11,3,6,1,[19],0
4,7,12,35,54,1,[148],0
4,8,13,2,2,1,[578],0
4,9,14,19,26,1,[27],0
4,10,14,3,26,1,-1,0
4,11,14,2,26,1,-1,0
4,12,15,1,27,1,[31],0
4,13,16,1,1,1,[10],0
4,14,17,3,10,1,[563],0
4,15,17,26,563,1,-1,0
4,16,17,27,563,1,-1,0
4,17,18,27,27,1,[100],0
4,18,18,27,578,1,-1,0
4,19,19,71,71,1,[256],0
4,20,20,256,256,1,[302],0
4,21,21,2,563,1,[5],0
4,22,21,3,5,1,-1,0
4,23,21,1,2,1,-1,0
4,24,22,0,27,1,[106],0
4,25,23,0,0,1,[478],0
4,26,24,478,478,1,[329],0
4,27,25,0,329,1,[514],0
4,28,26,0,514,1,[8],0
4,29,27,0,8,1,[9],0
4,30,27,8,8,1,-1,0
4,31,27,514,514,1,-1,0
4,32,27,329,329,1,-1,0
4,33,27,9,9,1,-1,0
4,34,27,0,478,1,-1,0
4,35,27,27,514,1,-1,0
4,36,27,9,27,1,-1,0
4,37,27,8,27,1,-1,0
4,38,28,2,5,1,[7],0
4,39,30,6,7,1,"[25, 20]",0
4,40,32,31,35,1,"[184, 286]",0
4,41,34,0,5,1,"[356, 4]",0
4,42,34,0,563,1,-1,0
4,43,35,19,71,1,[150],0
4,44,36,2,578,1,[579],0
4,45,37,9,579,1,[247],0
4,46,38,1,247,1,[107],0
4,47,39,3,247,1,[162],0
4,48,41,107,162,1,"[532, 21]",0
4,49,41,1,21,1,-1,0
5,0,5,3,3,1,[6],0
5,1,6,2,6,1,[26],0
5,2,7,1,26,1,[35],0
5,3,8,26,26,1,[246],0
5,4,9,246,246,1,[71],0
5,5,10,26,35,1,[54],0
5,6,11,35,54,1,[148],0
5,7,12,3,6,1,[19],0
5,8,13,3,26,1,[27],0
5,9,14,2,2,1,[578],0
5,10,14,19,26,1,-1,0
5,11,14,2,26,1,-1,0
5,12,15,1,27,1,[31],0
5,13,16,1,1,1,[10],0
5,14,17,3,10,1,[563],0
