inventory_size
5
6
7
8
9
9
10
11
12
12
12
12
12
12
12
12
12
12
12
13
14
15
15
15
15
16
16
16
16
16
16
16
17
18
19
20
20
20
20
21
22
23
23
23
23
23
23
23
23
23
