model,trial,step,inventory_size
true_emp,5,48,36
true_emp,5,49,36
true_emp,5,50,36
true_emp,5,51,36
true_emp,6,1,inventory_size
true_emp,6,2,5
true_emp,6,3,6
true_emp,6,4,7
true_emp,6,5,8
true_emp,6,6,9
true_emp,6,7,10
true_emp,6,8,11
true_emp,6,9,12
true_emp,6,10,13
true_emp,6,11,14
true_emp,6,12,14
true_emp,6,13,14
true_emp,6,14,15
true_emp,6,15,16
true_emp,6,16,17
true_emp,6,17,17
true_emp,6,18,17
true_emp,6,19,18
true_emp,6,20,18
true_emp,6,21,19
true_emp,6,22,20
true_emp,6,23,21
true_emp,6,24,21
true_emp,6,25,21
true_emp,6,26,22
true_emp,6,27,23
true_emp,6,28,24
true_emp,6,29,25
true_emp,6,30,26
true_emp,6,31,27
true_emp,6,32,27
true_emp,6,33,27
true_emp,6,34,27
true_emp,6,35,27
true_emp,6,36,27
true_emp,6,37,27
true_emp,6,38,27
true_emp,6,39,27
true_emp,6,40,28
true_emp,6,41,29
true_emp,6,42,31
true_emp,6,43,32
true_emp,6,44,33
true_emp,6,45,33
true_emp,6,46,34
true_emp,6,47,35
true_emp,6,48,36
true_emp,6,49,37
true_emp,6,50,38
true_emp,6,51,38
true_emp,7,1,inventory_size
true_emp,7,2,5
true_emp,7,3,6
true_emp,7,4,7
true_emp,7,5,8
true_emp,7,6,9
true_emp,7,7,10
true_emp,7,8,11
true_emp,7,9,12
true_emp,7,10,13
true_emp,7,11,13
true_emp,7,12,14
true_emp,7,13,14
true_emp,7,14,15
true_emp,7,15,16
true_emp,7,16,17
true_emp,7,17,17
true_emp,7,18,17
true_emp,7,19,18
true_emp,7,20,19
true_emp,7,21,20
true_emp,7,22,20
true_emp,7,23,21
true_emp,7,24,21
true_emp,7,25,22
true_emp,7,26,22
true_emp,7,27,23
true_emp,7,28,24
true_emp,7,29,25
true_emp,7,30,26
true_emp,7,31,27
true_emp,7,32,27
true_emp,7,33,27
true_emp,7,34,27
true_emp,7,35,27
true_emp,7,36,27
true_emp,7,37,27
true_emp,7,38,27
true_emp,7,39,27
true_emp,7,40,28
true_emp,7,41,29
true_emp,7,42,31
true_emp,7,43,32
true_emp,7,44,33
true_emp,7,45,34
true_emp,7,46,35
true_emp,7,47,36
true_emp,7,48,36
true_emp,7,49,36
true_emp,7,50,36
true_emp,7,51,36
true_emp,8,1,inventory_size
true_emp,8,2,5
true_emp,8,3,6
true_emp,8,4,7
true_emp,8,5,8
true_emp,8,6,9
true_emp,8,7,10
true_emp,8,8,11
true_emp,8,9,12
true_emp,8,10,13
true_emp,8,11,13
true_emp,8,12,14
true_emp,8,13,14
true_emp,8,14,15
true_emp,8,15,16
true_emp,8,16,17
true_emp,8,17,17
true_emp,8,18,17
true_emp,8,19,18
true_emp,8,20,18
true_emp,8,21,19
true_emp,8,22,20
true_emp,8,23,21
true_emp,8,24,21
true_emp,8,25,21
true_emp,8,26,22
true_emp,8,27,23
true_emp,8,28,24
true_emp,8,29,25
true_emp,8,30,26
true_emp,8,31,27
true_emp,8,32,27
true_emp,8,33,27
true_emp,8,34,27
true_emp,8,35,27
true_emp,8,36,27
true_emp,8,37,27
true_emp,8,38,27
true_emp,8,39,27
true_emp,8,40,28
true_emp,8,41,29
true_emp,8,42,31
true_emp,8,43,32
true_emp,8,44,33
true_emp,8,45,34
true_emp,8,46,35
true_emp,8,47,36
true_emp,8,48,37
true_emp,8,49,38
true_emp,8,50,38
true_emp,8,51,38
true_emp,9,1,inventory_size
true_emp,9,2,5
true_emp,9,3,6
true_emp,9,4,7
true_emp,9,5,8
true_emp,9,6,9
true_emp,9,7,10
true_emp,9,8,11
true_emp,9,9,12
true_emp,9,10,13
true_emp,9,11,14
true_emp,9,12,14
true_emp,9,13,14
true_emp,9,14,15
true_emp,9,15,16
true_emp,9,16,17
true_emp,9,17,17
true_emp,9,18,17
true_emp,9,19,18
true_emp,9,20,18
true_emp,9,21,19
true_emp,9,22,20
true_emp,9,23,21
true_emp,9,24,22
true_emp,9,25,22
true_emp,9,26,22
true_emp,9,27,23
true_emp,9,28,24
true_emp,9,29,25
true_emp,9,30,26
true_emp,9,31,27
true_emp,9,32,27
true_emp,9,33,27
true_emp,9,34,27
true_emp,9,35,27
true_emp,9,36,27
true_emp,9,37,27
true_emp,9,38,27
true_emp,9,39,27
true_emp,9,40,28
true_emp,9,41,29
true_emp,9,42,31
true_emp,9,43,32
true_emp,9,44,33
true_emp,9,45,34
true_emp,9,46,35
true_emp,9,47,36
true_emp,9,48,37
true_emp,9,49,37
true_emp,9,50,37
true_emp,9,51,37
true_emp,10,1,inventory_size
true_emp,10,2,5
true_emp,10,3,6
true_emp,10,4,7
true_emp,10,5,8
true_emp,10,6,9
true_emp,10,7,10
true_emp,10,8,11
true_emp,10,9,12
true_emp,10,10,13
true_emp,10,11,13
true_emp,10,12,14
true_emp,10,13,14
true_emp,10,14,15
true_emp,10,15,16
true_emp,10,16,17
true_emp,10,17,17
true_emp,10,18,17
true_emp,10,19,18
true_emp,10,20,18
true_emp,10,21,19
true_emp,10,22,20
true_emp,10,23,21
true_emp,10,24,21
