model,trial,step,inventory_size
with_fallback,5,33,35
with_fallback,5,34,36
with_fallback,5,35,36
with_fallback,5,36,36
with_fallback,5,37,37
with_fallback,5,38,38
with_fallback,5,39,38
with_fallback,5,40,38
with_fallback,5,41,39
with_fallback,5,42,40
with_fallback,5,43,41
with_fallback,5,44,41
with_fallback,5,45,43
with_fallback,5,46,43
with_fallback,5,47,43
with_fallback,5,48,43
with_fallback,5,49,44
with_fallback,5,50,46
with_fallback,6,1,5
with_fallback,6,2,6
with_fallback,6,3,7
with_fallback,6,4,8
with_fallback,6,5,9
with_fallback,6,6,10
with_fallback,6,7,11
with_fallback,6,8,12
with_fallback,6,9,13
with_fallback,6,10,14
with_fallback,6,11,15
with_fallback,6,12,16
with_fallback,6,13,16
with_fallback,6,14,17
with_fallback,6,15,18
with_fallback,6,16,20
with_fallback,6,17,21
with_fallback,6,18,23
with_fallback,6,19,23
with_fallback,6,20,24
with_fallback,6,21,25
with_fallback,6,22,25
with_fallback,6,23,26
with_fallback,6,24,27
with_fallback,6,25,28
with_fallback,6,26,29
with_fallback,6,27,30
with_fallback,6,28,31
with_fallback,6,29,32
with_fallback,6,30,33
with_fallback,6,31,34
with_fallback,6,32,35
with_fallback,6,33,36
with_fallback,6,34,36
with_fallback,6,35,36
with_fallback,6,36,37
with_fallback,6,37,38
with_fallback,6,38,38
with_fallback,6,39,38
with_fallback,6,40,38
with_fallback,6,41,39
with_fallback,6,42,40
with_fallback,6,43,41
with_fallback,6,44,41
with_fallback,6,45,43
with_fallback,6,46,43
with_fallback,6,47,44
with_fallback,6,48,46
with_fallback,6,49,47
with_fallback,6,50,48
with_fallback,7,1,5
with_fallback,7,2,6
with_fallback,7,3,7
with_fallback,7,4,8
with_fallback,7,5,9
with_fallback,7,6,10
with_fallback,7,7,11
with_fallback,7,8,12
with_fallback,7,9,13
with_fallback,7,10,14
with_fallback,7,11,15
with_fallback,7,12,16
with_fallback,7,13,16
with_fallback,7,14,17
with_fallback,7,15,18
with_fallback,7,16,20
with_fallback,7,17,21
with_fallback,7,18,23
with_fallback,7,19,23
with_fallback,7,20,24
with_fallback,7,21,25
with_fallback,7,22,25
with_fallback,7,23,26
with_fallback,7,24,27
with_fallback,7,25,28
with_fallback,7,26,28
with_fallback,7,27,29
with_fallback,7,28,30
with_fallback,7,29,31
with_fallback,7,30,32
with_fallback,7,31,33
with_fallback,7,32,34
with_fallback,7,33,35
with_fallback,7,34,36
with_fallback,7,35,36
with_fallback,7,36,36
with_fallback,7,37,36
with_fallback,7,38,37
with_fallback,7,39,38
with_fallback,7,40,38
with_fallback,7,41,39
with_fallback,7,42,40
with_fallback,7,43,41
with_fallback,7,44,43
with_fallback,7,45,44
with_fallback,7,46,46
with_fallback,7,47,47
with_fallback,7,48,48
with_fallback,7,49,49
with_fallback,7,50,50
with_fallback,8,1,5
with_fallback,8,2,6
with_fallback,8,3,7
with_fallback,8,4,8
with_fallback,8,5,9
with_fallback,8,6,10
with_fallback,8,7,11
with_fallback,8,8,12
with_fallback,8,9,13
with_fallback,8,10,14
with_fallback,8,11,15
with_fallback,8,12,16
with_fallback,8,13,16
with_fallback,8,14,17
with_fallback,8,15,19
with_fallback,8,16,20
with_fallback,8,17,22
with_fallback,8,18,22
with_fallback,8,19,23
with_fallback,8,20,24
with_fallback,8,21,24
with_fallback,8,22,25
with_fallback,8,23,25
with_fallback,8,24,26
with_fallback,8,25,26
with_fallback,8,26,26
with_fallback,8,27,26
with_fallback,8,28,27
with_fallback,8,29,28
with_fallback,8,30,29
with_fallback,8,31,30
with_fallback,8,32,31
with_fallback,8,33,32
with_fallback,8,34,33
with_fallback,8,35,34
with_fallback,8,36,35
with_fallback,8,37,36
with_fallback,8,38,37
with_fallback,8,39,38
with_fallback,8,40,39
with_fallback,8,41,39
with_fallback,8,42,39
with_fallback,8,43,40
with_fallback,8,44,41
with_fallback,8,45,42
with_fallback,8,46,44
with_fallback,8,47,44
with_fallback,8,48,45
with_fallback,8,49,45
with_fallback,8,50,47
with_fallback,9,1,5
with_fallback,9,2,6
with_fallback,9,3,7
with_fallback,9,4,8
with_fallback,9,5,9
